time,moving from index,moving to index,report
3,175,232,DAY 04/11/2024 - moved 1 animals from property ID 175 (farm) to property ID 232 (farm)
3,202,70,DAY 04/11/2024 - moved 3 animals from property ID 202 (farm) to property ID 70 (farm)
3,205,171,DAY 04/11/2024 - moved 1 animals from property ID 205 (farm) to property ID 171 (trader)
3,212,180,DAY 04/11/2024 - moved 17 animals from property ID 212 (trader) to property ID 180 (farm)
3,212,100,DAY 04/11/2024 - moved 18 animals from property ID 212 (trader) to property ID 100 (saleyard)
3,212,289,DAY 04/11/2024 - moved 18 animals from property ID 212 (trader) to property ID 289 (farm)
3,221,13,DAY 04/11/2024 - moved 19 animals from property ID 221 (farm) to property ID 13 (farm)
3,223,247,DAY 04/11/2024 - moved 3 animals from property ID 223 (farm) to property ID 247 (farm)
3,227,143,DAY 04/11/2024 - moved 8 animals from property ID 227 (farm) to property ID 143 (abbattoir)
3,238,171,DAY 04/11/2024 - moved 2 animals from property ID 238 (farm) to property ID 171 (trader)
3,261,26,DAY 04/11/2024 - moved 12 animals from property ID 261 (farm) to property ID 26 (stud farm)
3,263,215,DAY 04/11/2024 - moved 1 animals from property ID 263 (farm) to property ID 215 (farm)
3,269,272,DAY 04/11/2024 - moved 5 animals from property ID 269 (farm) to property ID 272 (feedlot)
4,9,294,DAY 05/11/2024 - moved 4 animals from property ID 9 (farm) to property ID 294 (farm)
4,13,290,DAY 05/11/2024 - moved 3 animals from property ID 13 (farm) to property ID 290 (feedlot)
4,26,212,DAY 05/11/2024 - moved 8 animals from property ID 26 (stud farm) to property ID 212 (trader)
4,26,150,DAY 05/11/2024 - moved 9 animals from property ID 26 (stud farm) to property ID 150 (trader)
4,26,171,DAY 05/11/2024 - moved 9 animals from property ID 26 (stud farm) to property ID 171 (trader)
4,36,150,DAY 05/11/2024 - moved 24 animals from property ID 36 (farm) to property ID 150 (trader)
4,42,143,DAY 05/11/2024 - moved 6 animals from property ID 42 (farm) to property ID 143 (abbattoir)
4,46,139,DAY 05/11/2024 - moved 1 animals from property ID 46 (farm) to property ID 139 (saleyard)
4,59,150,DAY 05/11/2024 - moved 16 animals from property ID 59 (farm) to property ID 150 (trader)
4,75,143,DAY 05/11/2024 - moved 7 animals from property ID 75 (farm) to property ID 143 (abbattoir)
4,91,90,DAY 05/11/2024 - moved 5 animals from property ID 91 (farm) to property ID 90 (farm)
4,100,107,DAY 05/11/2024 - moved 3 animals from property ID 100 (saleyard) to property ID 107 (feedlot)
4,100,43,DAY 05/11/2024 - moved 3 animals from property ID 100 (saleyard) to property ID 43 (feedlot)
4,100,272,DAY 05/11/2024 - moved 2 animals from property ID 100 (saleyard) to property ID 272 (feedlot)
4,100,219,DAY 05/11/2024 - moved 2 animals from property ID 100 (saleyard) to property ID 219 (farm)
4,100,272,DAY 05/11/2024 - moved 2 animals from property ID 100 (saleyard) to property ID 272 (feedlot)
4,100,143,DAY 05/11/2024 - moved 2 animals from property ID 100 (saleyard) to property ID 143 (abbattoir)
4,103,143,DAY 05/11/2024 - moved 15 animals from property ID 103 (farm) to property ID 143 (abbattoir)
4,109,143,DAY 05/11/2024 - moved 1 animals from property ID 109 (farm) to property ID 143 (abbattoir)
4,116,100,DAY 05/11/2024 - moved 1 animals from property ID 116 (farm) to property ID 100 (saleyard)
4,121,143,DAY 05/11/2024 - moved 1 animals from property ID 121 (farm) to property ID 143 (abbattoir)
4,136,290,DAY 05/11/2024 - moved 1 animals from property ID 136 (farm) to property ID 290 (feedlot)
4,137,36,DAY 05/11/2024 - moved 50 animals from property ID 137 (trader) to property ID 36 (farm)
4,139,143,DAY 05/11/2024 - moved 10 animals from property ID 139 (saleyard) to property ID 143 (abbattoir)
4,139,88,DAY 05/11/2024 - moved 10 animals from property ID 139 (saleyard) to property ID 88 (farm)
4,139,26,DAY 05/11/2024 - moved 10 animals from property ID 139 (saleyard) to property ID 26 (stud farm)
4,139,143,DAY 05/11/2024 - moved 10 animals from property ID 139 (saleyard) to property ID 143 (abbattoir)
4,139,212,DAY 05/11/2024 - moved 10 animals from property ID 139 (saleyard) to property ID 212 (trader)
4,150,139,DAY 05/11/2024 - moved 3 animals from property ID 150 (trader) to property ID 139 (saleyard)
4,150,90,DAY 05/11/2024 - moved 3 animals from property ID 150 (trader) to property ID 90 (farm)
4,157,26,DAY 05/11/2024 - moved 1 animals from property ID 157 (farm) to property ID 26 (stud farm)
4,163,290,DAY 05/11/2024 - moved 4 animals from property ID 163 (farm) to property ID 290 (feedlot)
4,167,107,DAY 05/11/2024 - moved 1 animals from property ID 167 (farm) to property ID 107 (feedlot)
4,168,143,DAY 05/11/2024 - moved 2 animals from property ID 168 (farm) to property ID 143 (abbattoir)
4,171,107,DAY 05/11/2024 - moved 2 animals from property ID 171 (trader) to property ID 107 (feedlot)
4,171,272,DAY 05/11/2024 - moved 2 animals from property ID 171 (trader) to property ID 272 (feedlot)
4,171,34,DAY 05/11/2024 - moved 2 animals from property ID 171 (trader) to property ID 34 (farm)
4,185,171,DAY 05/11/2024 - moved 3 animals from property ID 185 (farm) to property ID 171 (trader)
4,200,143,DAY 05/11/2024 - moved 28 animals from property ID 200 (farm) to property ID 143 (abbattoir)
4,219,283,DAY 05/11/2024 - moved 1 animals from property ID 219 (farm) to property ID 283 (farm)
4,229,26,DAY 05/11/2024 - moved 1 animals from property ID 229 (farm) to property ID 26 (stud farm)
4,244,139,DAY 05/11/2024 - moved 1 animals from property ID 244 (farm) to property ID 139 (saleyard)
4,267,290,DAY 05/11/2024 - moved 1 animals from property ID 267 (farm) to property ID 290 (feedlot)
4,268,171,DAY 05/11/2024 - moved 1 animals from property ID 268 (farm) to property ID 171 (trader)
4,277,231,DAY 05/11/2024 - moved 13 animals from property ID 277 (saleyard) to property ID 231 (farm)
4,291,123,DAY 05/11/2024 - moved 4 animals from property ID 291 (saleyard) to property ID 123 (farm)
4,291,139,DAY 05/11/2024 - moved 5 animals from property ID 291 (saleyard) to property ID 139 (saleyard)
4,291,227,DAY 05/11/2024 - moved 5 animals from property ID 291 (saleyard) to property ID 227 (farm)
5,5,184,DAY 06/11/2024 - moved 53 animals from property ID 5 (farm) to property ID 184 (farm)
5,11,212,DAY 06/11/2024 - moved 1 animals from property ID 11 (farm) to property ID 212 (trader)
5,16,107,DAY 06/11/2024 - moved 1 animals from property ID 16 (farm) to property ID 107 (feedlot)
5,18,272,DAY 06/11/2024 - moved 1 animals from property ID 18 (farm) to property ID 272 (feedlot)
5,25,171,DAY 06/11/2024 - moved 5 animals from property ID 25 (farm) to property ID 171 (trader)
5,26,243,DAY 06/11/2024 - moved 3 animals from property ID 26 (stud farm) to property ID 243 (farm)
5,26,183,DAY 06/11/2024 - moved 4 animals from property ID 26 (stud farm) to property ID 183 (farm)
5,26,174,DAY 06/11/2024 - moved 4 animals from property ID 26 (stud farm) to property ID 174 (farm)
5,26,277,DAY 06/11/2024 - moved 4 animals from property ID 26 (stud farm) to property ID 277 (saleyard)
5,26,139,DAY 06/11/2024 - moved 4 animals from property ID 26 (stud farm) to property ID 139 (saleyard)
5,26,249,DAY 06/11/2024 - moved 4 animals from property ID 26 (stud farm) to property ID 249 (farm)
5,27,43,DAY 06/11/2024 - moved 1 animals from property ID 27 (farm) to property ID 43 (feedlot)
5,32,290,DAY 06/11/2024 - moved 1 animals from property ID 32 (farm) to property ID 290 (feedlot)
5,35,26,DAY 06/11/2024 - moved 1 animals from property ID 35 (farm) to property ID 26 (stud farm)
5,43,143,DAY 06/11/2024 - moved 5 animals from property ID 43 (feedlot) to property ID 143 (abbattoir)
5,49,26,DAY 06/11/2024 - moved 1 animals from property ID 49 (farm) to property ID 26 (stud farm)
5,52,26,DAY 06/11/2024 - moved 70 animals from property ID 52 (farm) to property ID 26 (stud farm)
5,56,100,DAY 06/11/2024 - moved 2 animals from property ID 56 (farm) to property ID 100 (saleyard)
5,61,150,DAY 06/11/2024 - moved 1 animals from property ID 61 (farm) to property ID 150 (trader)
5,62,277,DAY 06/11/2024 - moved 35 animals from property ID 62 (farm) to property ID 277 (saleyard)
5,76,154,DAY 06/11/2024 - moved 1 animals from property ID 76 (farm) to property ID 154 (farm)
5,81,26,DAY 06/11/2024 - moved 1 animals from property ID 81 (farm) to property ID 26 (stud farm)
5,88,43,DAY 06/11/2024 - moved 2 animals from property ID 88 (farm) to property ID 43 (feedlot)
5,93,212,DAY 06/11/2024 - moved 2 animals from property ID 93 (farm) to property ID 212 (trader)
5,94,171,DAY 06/11/2024 - moved 5 animals from property ID 94 (farm) to property ID 171 (trader)
5,118,137,DAY 06/11/2024 - moved 5 animals from property ID 118 (farm) to property ID 137 (trader)
5,130,137,DAY 06/11/2024 - moved 3 animals from property ID 130 (farm) to property ID 137 (trader)
5,139,194,DAY 06/11/2024 - moved 42 animals from property ID 139 (saleyard) to property ID 194 (farm)
5,140,277,DAY 06/11/2024 - moved 57 animals from property ID 140 (farm) to property ID 277 (saleyard)
5,144,100,DAY 06/11/2024 - moved 1 animals from property ID 144 (farm) to property ID 100 (saleyard)
5,150,137,DAY 06/11/2024 - moved 5 animals from property ID 150 (trader) to property ID 137 (trader)
5,150,272,DAY 06/11/2024 - moved 5 animals from property ID 150 (trader) to property ID 272 (feedlot)
5,150,218,DAY 06/11/2024 - moved 5 animals from property ID 150 (trader) to property ID 218 (farm)
