time,moving from index,moving to index,report
2,6,908,DAY 03/11/2024 - moved 1 animals from property ID 6 (stud farm) to property ID 908 (saleyard)
2,6,776,DAY 03/11/2024 - moved 1 animals from property ID 6 (stud farm) to property ID 776 (trader)
2,8,1528,DAY 03/11/2024 - moved 9 animals from property ID 8 (farm) to property ID 1528 (farm)
2,43,898,DAY 03/11/2024 - moved 4 animals from property ID 43 (farm) to property ID 898 (farm)
2,63,558,DAY 03/11/2024 - moved 18 animals from property ID 63 (farm) to property ID 558 (farm)
2,92,202,DAY 03/11/2024 - moved 3 animals from property ID 92 (trader) to property ID 202 (farm)
2,92,1666,DAY 03/11/2024 - moved 3 animals from property ID 92 (trader) to property ID 1666 (feedlot)
2,103,724,DAY 03/11/2024 - moved 2 animals from property ID 103 (farm) to property ID 724 (farm)
2,105,866,DAY 03/11/2024 - moved 16 animals from property ID 105 (farm) to property ID 866 (feedlot)
2,113,1273,DAY 03/11/2024 - moved 8 animals from property ID 113 (farm) to property ID 1273 (trader)
2,130,183,DAY 03/11/2024 - moved 6 animals from property ID 130 (farm) to property ID 183 (farm)
2,134,415,DAY 03/11/2024 - moved 10 animals from property ID 134 (farm) to property ID 415 (trader)
2,141,1823,DAY 03/11/2024 - moved 7 animals from property ID 141 (farm) to property ID 1823 (trader)
2,150,874,DAY 03/11/2024 - moved 23 animals from property ID 150 (farm) to property ID 874 (farm)
2,169,1253,DAY 03/11/2024 - moved 1 animals from property ID 169 (farm) to property ID 1253 (feedlot)
2,173,1666,DAY 03/11/2024 - moved 3 animals from property ID 173 (farm) to property ID 1666 (feedlot)
2,177,982,DAY 03/11/2024 - moved 4 animals from property ID 177 (farm) to property ID 982 (farm)
2,180,1301,DAY 03/11/2024 - moved 3 animals from property ID 180 (farm) to property ID 1301 (saleyard)
2,189,586,DAY 03/11/2024 - moved 23 animals from property ID 189 (saleyard) to property ID 586 (farm)
2,189,540,DAY 03/11/2024 - moved 23 animals from property ID 189 (saleyard) to property ID 540 (farm)
2,189,524,DAY 03/11/2024 - moved 23 animals from property ID 189 (saleyard) to property ID 524 (feedlot)
2,202,1387,DAY 03/11/2024 - moved 4 animals from property ID 202 (farm) to property ID 1387 (farm)
2,212,1109,DAY 03/11/2024 - moved 3 animals from property ID 212 (farm) to property ID 1109 (feedlot)
2,217,1536,DAY 03/11/2024 - moved 7 animals from property ID 217 (farm) to property ID 1536 (feedlot)
2,225,1968,DAY 03/11/2024 - moved 2 animals from property ID 225 (farm) to property ID 1968 (farm)
2,230,1273,DAY 03/11/2024 - moved 4 animals from property ID 230 (farm) to property ID 1273 (trader)
2,236,322,DAY 03/11/2024 - moved 6 animals from property ID 236 (farm) to property ID 322 (farm)
2,245,734,DAY 03/11/2024 - moved 9 animals from property ID 245 (farm) to property ID 734 (farm)
2,250,776,DAY 03/11/2024 - moved 5 animals from property ID 250 (farm) to property ID 776 (trader)
2,256,776,DAY 03/11/2024 - moved 4 animals from property ID 256 (farm) to property ID 776 (trader)
2,259,489,DAY 03/11/2024 - moved 11 animals from property ID 259 (farm) to property ID 489 (farm)
2,291,1450,DAY 03/11/2024 - moved 9 animals from property ID 291 (farm) to property ID 1450 (farm)
2,296,636,DAY 03/11/2024 - moved 23 animals from property ID 296 (farm) to property ID 636 (farm)
2,302,1728,DAY 03/11/2024 - moved 3 animals from property ID 302 (farm) to property ID 1728 (farm)
2,311,1109,DAY 03/11/2024 - moved 1 animals from property ID 311 (farm) to property ID 1109 (feedlot)
2,328,904,DAY 03/11/2024 - moved 5 animals from property ID 328 (farm) to property ID 904 (trader)
2,330,1898,DAY 03/11/2024 - moved 5 animals from property ID 330 (farm) to property ID 1898 (saleyard)
2,337,1379,DAY 03/11/2024 - moved 12 animals from property ID 337 (farm) to property ID 1379 (feedlot)
2,347,1260,DAY 03/11/2024 - moved 4 animals from property ID 347 (farm) to property ID 1260 (farm)
2,357,1301,DAY 03/11/2024 - moved 2 animals from property ID 357 (farm) to property ID 1301 (saleyard)
2,370,964,DAY 03/11/2024 - moved 13 animals from property ID 370 (farm) to property ID 964 (feedlot)
2,392,1379,DAY 03/11/2024 - moved 11 animals from property ID 392 (farm) to property ID 1379 (feedlot)
2,412,782,DAY 03/11/2024 - moved 10 animals from property ID 412 (farm) to property ID 782 (trader)
2,415,188,DAY 03/11/2024 - moved 1 animals from property ID 415 (trader) to property ID 188 (feedlot)
2,415,581,DAY 03/11/2024 - moved 1 animals from property ID 415 (trader) to property ID 581 (farm)
2,416,776,DAY 03/11/2024 - moved 5 animals from property ID 416 (farm) to property ID 776 (trader)
2,430,1898,DAY 03/11/2024 - moved 2 animals from property ID 430 (farm) to property ID 1898 (saleyard)
2,461,783,DAY 03/11/2024 - moved 2 animals from property ID 461 (farm) to property ID 783 (farm)
2,462,1213,DAY 03/11/2024 - moved 16 animals from property ID 462 (farm) to property ID 1213 (farm)
2,477,964,DAY 03/11/2024 - moved 9 animals from property ID 477 (farm) to property ID 964 (feedlot)
2,478,35,DAY 03/11/2024 - moved 5 animals from property ID 478 (farm) to property ID 35 (farm)
2,494,189,DAY 03/11/2024 - moved 4 animals from property ID 494 (farm) to property ID 189 (saleyard)
2,501,1768,DAY 03/11/2024 - moved 1 animals from property ID 501 (farm) to property ID 1768 (feedlot)
2,506,690,DAY 03/11/2024 - moved 1 animals from property ID 506 (farm) to property ID 690 (farm)
2,508,1588,DAY 03/11/2024 - moved 12 animals from property ID 508 (farm) to property ID 1588 (farm)
2,518,1273,DAY 03/11/2024 - moved 4 animals from property ID 518 (farm) to property ID 1273 (trader)
2,521,6,DAY 03/11/2024 - moved 5 animals from property ID 521 (farm) to property ID 6 (stud farm)
2,523,96,DAY 03/11/2024 - moved 17 animals from property ID 523 (farm) to property ID 96 (farm)
2,530,904,DAY 03/11/2024 - moved 6 animals from property ID 530 (farm) to property ID 904 (trader)
2,533,1356,DAY 03/11/2024 - moved 5 animals from property ID 533 (farm) to property ID 1356 (farm)
2,536,766,DAY 03/11/2024 - moved 29 animals from property ID 536 (farm) to property ID 766 (farm)
2,544,509,DAY 03/11/2024 - moved 1 animals from property ID 544 (farm) to property ID 509 (farm)
2,548,1022,DAY 03/11/2024 - moved 23 animals from property ID 548 (farm) to property ID 1022 (farm)
2,550,213,DAY 03/11/2024 - moved 5 animals from property ID 550 (farm) to property ID 213 (farm)
2,552,1827,DAY 03/11/2024 - moved 2 animals from property ID 552 (farm) to property ID 1827 (farm)
2,568,1505,DAY 03/11/2024 - moved 8 animals from property ID 568 (farm) to property ID 1505 (farm)
2,575,1615,DAY 03/11/2024 - moved 10 animals from property ID 575 (farm) to property ID 1615 (farm)
2,594,1119,DAY 03/11/2024 - moved 12 animals from property ID 594 (farm) to property ID 1119 (trader)
2,603,1379,DAY 03/11/2024 - moved 5 animals from property ID 603 (farm) to property ID 1379 (feedlot)
2,607,908,DAY 03/11/2024 - moved 2 animals from property ID 607 (farm) to property ID 908 (saleyard)
2,626,782,DAY 03/11/2024 - moved 17 animals from property ID 626 (farm) to property ID 782 (trader)
2,627,92,DAY 03/11/2024 - moved 11 animals from property ID 627 (farm) to property ID 92 (trader)
2,643,1898,DAY 03/11/2024 - moved 9 animals from property ID 643 (farm) to property ID 1898 (saleyard)
2,648,1823,DAY 03/11/2024 - moved 6 animals from property ID 648 (farm) to property ID 1823 (trader)
2,688,1536,DAY 03/11/2024 - moved 28 animals from property ID 688 (farm) to property ID 1536 (feedlot)
2,700,264,DAY 03/11/2024 - moved 4 animals from property ID 700 (trader) to property ID 264 (feedlot)
2,708,964,DAY 03/11/2024 - moved 25 animals from property ID 708 (farm) to property ID 964 (feedlot)
2,731,189,DAY 03/11/2024 - moved 12 animals from property ID 731 (farm) to property ID 189 (saleyard)
2,759,524,DAY 03/11/2024 - moved 9 animals from property ID 759 (farm) to property ID 524 (feedlot)
2,765,904,DAY 03/11/2024 - moved 8 animals from property ID 765 (farm) to property ID 904 (trader)
2,772,1662,DAY 03/11/2024 - moved 46 animals from property ID 772 (farm) to property ID 1662 (feedlot)
