time,moving from index,moving to index,report
4,160,116,DAY 05/11/2024 - moved 4 animals from property ID 160 (saleyard) to property ID 116 (farm)
4,160,240,DAY 05/11/2024 - moved 4 animals from property ID 160 (saleyard) to property ID 240 (feedlot)
4,160,56,DAY 05/11/2024 - moved 4 animals from property ID 160 (saleyard) to property ID 56 (feedlot)
4,160,0,DAY 05/11/2024 - moved 4 animals from property ID 160 (saleyard) to property ID 0 (stud farm)
4,162,7,DAY 05/11/2024 - moved 2 animals from property ID 162 (farm) to property ID 7 (saleyard)
4,172,30,DAY 05/11/2024 - moved 1 animals from property ID 172 (trader) to property ID 30 (abbattoir)
4,172,240,DAY 05/11/2024 - moved 2 animals from property ID 172 (trader) to property ID 240 (feedlot)
4,172,244,DAY 05/11/2024 - moved 2 animals from property ID 172 (trader) to property ID 244 (feedlot)
4,177,56,DAY 05/11/2024 - moved 4 animals from property ID 177 (farm) to property ID 56 (feedlot)
4,186,30,DAY 05/11/2024 - moved 3 animals from property ID 186 (trader) to property ID 30 (abbattoir)
4,186,188,DAY 05/11/2024 - moved 2 animals from property ID 186 (trader) to property ID 188 (feedlot)
4,187,65,DAY 05/11/2024 - moved 1 animals from property ID 187 (farm) to property ID 65 (trader)
4,215,240,DAY 05/11/2024 - moved 2 animals from property ID 215 (farm) to property ID 240 (feedlot)
4,225,0,DAY 05/11/2024 - moved 2 animals from property ID 225 (farm) to property ID 0 (stud farm)
4,239,0,DAY 05/11/2024 - moved 2 animals from property ID 239 (farm) to property ID 0 (stud farm)
4,246,186,DAY 05/11/2024 - moved 1 animals from property ID 246 (farm) to property ID 186 (trader)
4,290,11,DAY 05/11/2024 - moved 3 animals from property ID 290 (farm) to property ID 11 (farm)
4,294,172,DAY 05/11/2024 - moved 10 animals from property ID 294 (farm) to property ID 172 (trader)
5,0,3,DAY 06/11/2024 - moved 6 animals from property ID 0 (stud farm) to property ID 3 (farm)
5,0,7,DAY 06/11/2024 - moved 6 animals from property ID 0 (stud farm) to property ID 7 (saleyard)
5,7,187,DAY 06/11/2024 - moved 8 animals from property ID 7 (saleyard) to property ID 187 (farm)
5,7,240,DAY 06/11/2024 - moved 8 animals from property ID 7 (saleyard) to property ID 240 (feedlot)
5,7,12,DAY 06/11/2024 - moved 8 animals from property ID 7 (saleyard) to property ID 12 (farm)
5,7,270,DAY 06/11/2024 - moved 8 animals from property ID 7 (saleyard) to property ID 270 (farm)
5,7,0,DAY 06/11/2024 - moved 8 animals from property ID 7 (saleyard) to property ID 0 (stud farm)
5,18,244,DAY 06/11/2024 - moved 13 animals from property ID 18 (farm) to property ID 244 (feedlot)
5,20,30,DAY 06/11/2024 - moved 1 animals from property ID 20 (farm) to property ID 30 (abbattoir)
5,100,7,DAY 06/11/2024 - moved 1 animals from property ID 100 (saleyard) to property ID 7 (saleyard)
5,100,188,DAY 06/11/2024 - moved 1 animals from property ID 100 (saleyard) to property ID 188 (feedlot)
5,100,0,DAY 06/11/2024 - moved 1 animals from property ID 100 (saleyard) to property ID 0 (stud farm)
5,100,65,DAY 06/11/2024 - moved 1 animals from property ID 100 (saleyard) to property ID 65 (trader)
5,100,186,DAY 06/11/2024 - moved 1 animals from property ID 100 (saleyard) to property ID 186 (trader)
5,104,30,DAY 06/11/2024 - moved 13 animals from property ID 104 (farm) to property ID 30 (abbattoir)
5,120,196,DAY 06/11/2024 - moved 2 animals from property ID 120 (saleyard) to property ID 196 (farm)
5,120,100,DAY 06/11/2024 - moved 2 animals from property ID 120 (saleyard) to property ID 100 (saleyard)
5,120,172,DAY 06/11/2024 - moved 1 animals from property ID 120 (saleyard) to property ID 172 (trader)
5,120,65,DAY 06/11/2024 - moved 1 animals from property ID 120 (saleyard) to property ID 65 (trader)
5,120,19,DAY 06/11/2024 - moved 1 animals from property ID 120 (saleyard) to property ID 19 (farm)
5,120,172,DAY 06/11/2024 - moved 1 animals from property ID 120 (saleyard) to property ID 172 (trader)
5,121,100,DAY 06/11/2024 - moved 1 animals from property ID 121 (farm) to property ID 100 (saleyard)
5,123,70,DAY 06/11/2024 - moved 3 animals from property ID 123 (farm) to property ID 70 (farm)
5,130,0,DAY 06/11/2024 - moved 1 animals from property ID 130 (farm) to property ID 0 (stud farm)
5,131,244,DAY 06/11/2024 - moved 3 animals from property ID 131 (farm) to property ID 244 (feedlot)
5,138,188,DAY 06/11/2024 - moved 1 animals from property ID 138 (farm) to property ID 188 (feedlot)
5,155,186,DAY 06/11/2024 - moved 1 animals from property ID 155 (farm) to property ID 186 (trader)
5,160,240,DAY 06/11/2024 - moved 4 animals from property ID 160 (saleyard) to property ID 240 (feedlot)
5,160,30,DAY 06/11/2024 - moved 4 animals from property ID 160 (saleyard) to property ID 30 (abbattoir)
5,160,297,DAY 06/11/2024 - moved 3 animals from property ID 160 (saleyard) to property ID 297 (trader)
5,160,186,DAY 06/11/2024 - moved 3 animals from property ID 160 (saleyard) to property ID 186 (trader)
5,160,0,DAY 06/11/2024 - moved 3 animals from property ID 160 (saleyard) to property ID 0 (stud farm)
5,172,240,DAY 06/11/2024 - moved 3 animals from property ID 172 (trader) to property ID 240 (feedlot)
5,172,240,DAY 06/11/2024 - moved 2 animals from property ID 172 (trader) to property ID 240 (feedlot)
5,172,85,DAY 06/11/2024 - moved 2 animals from property ID 172 (trader) to property ID 85 (farm)
5,186,188,DAY 06/11/2024 - moved 3 animals from property ID 186 (trader) to property ID 188 (feedlot)
5,186,39,DAY 06/11/2024 - moved 2 animals from property ID 186 (trader) to property ID 39 (farm)
5,189,30,DAY 06/11/2024 - moved 1 animals from property ID 189 (farm) to property ID 30 (abbattoir)
5,200,172,DAY 06/11/2024 - moved 1 animals from property ID 200 (farm) to property ID 172 (trader)
5,205,181,DAY 06/11/2024 - moved 1 animals from property ID 205 (farm) to property ID 181 (farm)
5,248,63,DAY 06/11/2024 - moved 5 animals from property ID 248 (farm) to property ID 63 (farm)
5,253,186,DAY 06/11/2024 - moved 3 animals from property ID 253 (farm) to property ID 186 (trader)
5,257,56,DAY 06/11/2024 - moved 1 animals from property ID 257 (farm) to property ID 56 (feedlot)
5,268,0,DAY 06/11/2024 - moved 13 animals from property ID 268 (farm) to property ID 0 (stud farm)
5,276,120,DAY 06/11/2024 - moved 2 animals from property ID 276 (farm) to property ID 120 (saleyard)
5,284,0,DAY 06/11/2024 - moved 1 animals from property ID 284 (farm) to property ID 0 (stud farm)
5,288,240,DAY 06/11/2024 - moved 1 animals from property ID 288 (farm) to property ID 240 (feedlot)
5,291,100,DAY 06/11/2024 - moved 1 animals from property ID 291 (farm) to property ID 100 (saleyard)
5,292,120,DAY 06/11/2024 - moved 7 animals from property ID 292 (farm) to property ID 120 (saleyard)
5,295,65,DAY 06/11/2024 - moved 1 animals from property ID 295 (farm) to property ID 65 (trader)
5,297,56,DAY 06/11/2024 - moved 21 animals from property ID 297 (trader) to property ID 56 (feedlot)
6,0,148,DAY 07/11/2024 - moved 3 animals from property ID 0 (stud farm) to property ID 148 (farm)
6,0,65,DAY 07/11/2024 - moved 3 animals from property ID 0 (stud farm) to property ID 65 (trader)
6,0,186,DAY 07/11/2024 - moved 3 animals from property ID 0 (stud farm) to property ID 186 (trader)
6,0,65,DAY 07/11/2024 - moved 2 animals from property ID 0 (stud farm) to property ID 65 (trader)
6,0,100,DAY 07/11/2024 - moved 2 animals from property ID 0 (stud farm) to property ID 100 (saleyard)
6,0,13,DAY 07/11/2024 - moved 2 animals from property ID 0 (stud farm) to property ID 13 (farm)
6,7,297,DAY 07/11/2024 - moved 5 animals from property ID 7 (saleyard) to property ID 297 (trader)
6,7,0,DAY 07/11/2024 - moved 5 animals from property ID 7 (saleyard) to property ID 0 (stud farm)
6,7,0,DAY 07/11/2024 - moved 5 animals from property ID 7 (saleyard) to property ID 0 (stud farm)
6,7,30,DAY 07/11/2024 - moved 6 animals from property ID 7 (saleyard) to property ID 30 (abbattoir)
